Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
CUST146,127,1,200.0,4,1,3,413,Regular Customers
CUST147,96,1,300.0,4,1,4,414,Regular Customers
CUST148,238,1,60.0,2,1,2,212,At Risk
CUST149,83,1,75.0,4,1,2,412,Regular Customers
CUST150,361,1,120.0,1,1,3,113,At Risk
CUST151,18,1,50.0,5,1,1,511,Regular Customers
CUST152,308,1,2000.0,1,1,5,115,At Risk
CUST153,17,1,1000.0,5,1,4,514,Regular Customers
CUST154,92,1,900.0,4,1,4,414,Regular Customers
CUST155,230,1,2000.0,2,1,5,215,At Risk
CUST156,38,1,100.0,5,1,2,512,Regular Customers
CUST157,192,1,2000.0,3,1,5,315,Regular Customers
CUST158,309,1,600.0,1,1,4,114,At Risk
CUST159,216,1,200.0,3,1,3,313,Regular Customers
CUST160,144,1,100.0,4,1,2,412,Regular Customers
CUST161,286,1,1000.0,2,1,4,214,At Risk
CUST162,134,1,60.0,4,1,2,412,Regular Customers
CUST163,365,1,150.0,1,1,3,113,At Risk
CUST164,232,1,1500.0,2,1,5,215,At Risk
CUST165,110,1,1200.0,4,1,5,415,Regular Customers
CUST166,275,1,2000.0,2,1,5,215,At Risk
CUST167,107,1,150.0,4,1,3,413,Regular Customers
CUST168,312,1,300.0,1,1,4,114,At Risk
CUST169,46,1,1500.0,5,1,5,515,Regular Customers
CUST170,214,1,50.0,3,1,1,311,Regular Customers
CUST171,39,1,900.0,5,1,4,514,Regular Customers
CUST172,107,1,50.0,4,1,1,411,Regular Customers
CUST173,55,1,120.0,5,1,3,513,Regular Customers
CUST174,265,1,300.0,2,1,4,214,At Risk
CUST175,288,1,100.0,2,1,2,212,At Risk
CUST176,175,1,100.0,3,1,2,312,Regular Customers
CUST177,284,1,100.0,2,1,2,212,At Risk
CUST178,90,1,60.0,4,1,2,412,Regular Customers
CUST179,95,1,300.0,4,1,4,414,Regular Customers
CUST180,366,1,900.0,1,1,4,114,At Risk
CUST181,60,1,1200.0,5,1,5,515,Regular Customers
CUST182,201,1,120.0,3,1,3,313,Regular Customers
CUST183,116,1,900.0,4,1,4,414,Regular Customers
CUST184,357,1,200.0,1,1,3,113,At Risk
CUST185,309,1,25.0,1,1,1,111,At Risk
CUST186,181,1,200.0,3,1,3,313,Regular Customers
CUST187,209,1,100.0,3,1,2,312,Regular Customers
CUST188,244,1,75.0,2,1,2,212,At Risk
CUST189,337,1,50.0,1,1,1,111,At Risk
CUST190,243,1,90.0,2,1,2,212,At Risk
CUST191,76,1,25.0,4,1,1,411,Regular Customers
CUST192,326,1,100.0,1,1,2,112,At Risk
CUST193,323,1,1500.0,1,1,5,115,At Risk
CUST194,118,1,200.0,4,1,3,413,Regular Customers
CUST195,331,1,30.0,1,1,1,111,At Risk
CUST196,94,1,900.0,4,1,4,414,Regular Customers
CUST197,302,1,200.0,1,1,3,113,At Risk
CUST198,301,1,900.0,1,1,4,114,At Risk
CUST199,29,1,1500.0,5,1,5,515,Regular Customers
CUST200,123,1,150.0,4,2,3,423,Regular Customers
CUST201,85,1,25.0,4,2,1,421,Regular Customers
CUST202,282,1,1200.0,2,2,5,225,At Risk
CUST203,231,1,1000.0,2,2,4,224,At Risk
CUST204,96,1,25.0,4,2,1,421,Regular Customers
CUST205,56,1,25.0,5,2,1,521,Regular Customers
CUST206,150,1,25.0,3,2,1,321,Regular Customers
CUST207,258,1,50.0,2,2,1,221,At Risk
CUST208,90,1,200.0,4,2,3,423,Regular Customers
CUST209,13,1,200.0,5,2,3,523,Regular Customers
CUST210,264,1,200.0,2,2,3,223,At Risk
CUST211,1,1,1500.0,5,2,5,525,Regular Customers
CUST212,207,1,1500.0,3,2,5,325,Regular Customers
CUST213,162,1,1500.0,3,2,5,325,Regular Customers
CUST214,23,1,60.0,5,2,2,522,Regular Customers
CUST215,34,1,1500.0,5,2,5,525,Regular Customers
CUST216,175,1,100.0,3,2,2,322,Regular Customers
CUST217,142,1,200.0,4,2,3,423,Regular Customers
CUST218,102,1,90.0,4,2,2,422,Regular Customers
CUST219,135,1,90.0,4,2,2,422,Regular Customers
CUST220,305,1,500.0,1,2,4,124,At Risk
CUST221,240,1,600.0,2,2,4,224,At Risk
CUST222,251,1,120.0,2,2,3,223,At Risk
CUST223,334,1,25.0,1,2,1,121,At Risk
CUST224,193,1,50.0,3,2,1,321,Regular Customers
CUST225,356,1,100.0,1,2,2,122,At Risk
CUST226,65,1,50.0,5,2,1,521,Regular Customers
CUST227,83,1,100.0,4,2,2,422,Regular Customers
CUST228,249,1,60.0,2,2,2,222,At Risk
CUST229,65,1,90.0,5,2,2,522,Regular Customers
CUST230,254,1,25.0,2,2,1,221,At Risk
CUST231,363,1,150.0,1,2,3,123,At Risk
CUST232,330,1,25.0,1,2,1,121,At Risk
CUST233,4,1,600.0,5,2,4,524,Regular Customers
CUST234,43,1,50.0,5,2,1,521,Regular Customers
CUST235,336,1,1000.0,1,2,4,124,At Risk
CUST236,249,1,25.0,2,2,1,221,At Risk
CUST237,332,1,1000.0,1,2,4,124,At Risk
CUST238,350,1,500.0,1,2,4,124,At Risk
CUST239,197,1,1500.0,3,2,5,325,Regular Customers
CUST240,330,1,300.0,1,2,4,124,At Risk
CUST241,103,1,75.0,4,2,2,422,Regular Customers
CUST242,245,1,25.0,2,2,1,221,At Risk
CUST243,224,1,900.0,3,2,4,324,Regular Customers
CUST244,24,1,100.0,5,2,2,522,Regular Customers
CUST245,118,1,90.0,4,2,2,422,Regular Customers
CUST246,257,1,50.0,2,2,1,221,At Risk
CUST247,90,1,60.0,4,2,2,422,Regular Customers
CUST248,299,1,900.0,1,2,4,124,At Risk
CUST249,74,1,50.0,4,2,1,421,Regular Customers
CUST250,71,1,50.0,5,2,1,521,Regular Customers
CUST251,124,1,200.0,4,2,3,423,Regular Customers
CUST252,242,1,300.0,2,2,4,224,At Risk
CUST253,124,1,2000.0,4,2,5,425,Regular Customers
CUST254,158,1,500.0,3,2,4,324,Regular Customers
CUST255,269,1,30.0,2,2,1,221,At Risk
CUST256,318,1,1000.0,1,2,4,124,At Risk
CUST257,317,1,2000.0,1,2,5,125,At Risk
CUST258,29,1,50.0,5,2,1,521,Regular Customers
CUST259,146,1,200.0,4,2,3,423,Regular Customers
CUST260,185,1,60.0,3,2,2,322,Regular Customers
CUST261,150,1,50.0,3,2,1,321,Regular Customers
CUST262,156,1,120.0,3,2,3,323,Regular Customers
CUST263,127,1,60.0,4,2,2,422,Regular Customers
CUST264,339,1,900.0,1,2,4,124,At Risk
CUST265,22,1,900.0,5,2,4,524,Regular Customers
CUST266,32,1,60.0,5,2,2,522,Regular Customers
CUST267,36,1,90.0,5,2,2,522,Regular Customers
CUST268,316,1,30.0,1,2,1,121,At Risk
CUST269,335,1,2000.0,1,2,5,125,At Risk
CUST270,160,1,300.0,3,2,4,324,Regular Customers
CUST271,193,1,120.0,3,2,3,323,Regular Customers
CUST272,311,1,100.0,1,2,2,122,At Risk
CUST273,239,1,50.0,2,2,1,221,At Risk
CUST274,268,1,1000.0,2,2,4,224,At Risk
CUST275,269,1,1000.0,2,2,4,224,At Risk
CUST276,92,1,100.0,4,2,2,422,Regular Customers
CUST277,137,1,100.0,4,2,2,422,Regular Customers
CUST278,295,1,100.0,1,2,2,122,At Risk
CUST279,150,1,500.0,3,2,4,324,Regular Customers
CUST280,273,1,1500.0,2,2,5,225,At Risk
CUST281,224,1,2000.0,3,2,5,325,Regular Customers
CUST282,130,1,200.0,4,2,3,423,Regular Customers
CUST283,239,1,500.0,2,2,4,224,At Risk
CUST284,328,1,200.0,1,2,3,123,At Risk
CUST285,140,1,25.0,4,2,1,421,Regular Customers
CUST286,85,1,50.0,4,2,1,421,Regular Customers
CUST287,316,1,100.0,1,2,2,122,At Risk
CUST288,341,1,120.0,1,2,3,123,At Risk
CUST289,33,1,60.0,5,2,2,522,Regular Customers
CUST290,90,1,600.0,4,2,4,424,Regular Customers
CUST291,359,1,600.0,1,2,4,124,At Risk
CUST292,319,1,1200.0,1,2,5,125,At Risk
CUST293,245,1,90.0,2,2,2,222,At Risk
CUST294,281,1,90.0,2,2,2,222,At Risk
CUST295,158,1,900.0,3,2,4,324,Regular Customers
CUST296,118,1,1200.0,4,2,5,425,Regular Customers
CUST297,120,1,1000.0,4,2,4,424,Regular Customers
CUST298,257,1,1200.0,2,2,5,225,At Risk
CUST299,161,1,1000.0,3,2,4,324,Regular Customers
CUST300,336,1,200.0,1,2,3,123,At Risk
CUST301,282,1,120.0,2,2,3,223,At Risk
CUST302,172,1,600.0,3,2,4,324,Regular Customers
CUST303,365,1,90.0,1,2,2,122,At Risk
CUST304,167,1,60.0,3,2,2,322,Regular Customers
CUST305,231,1,30.0,2,2,1,221,At Risk
CUST306,134,1,50.0,4,2,1,421,Regular Customers
CUST307,220,1,50.0,3,2,1,321,Regular Customers
CUST308,150,1,1200.0,3,2,5,325,Regular Customers
CUST309,10,1,25.0,5,2,1,521,Regular Customers
CUST310,82,1,25.0,4,2,1,421,Regular Customers
CUST311,28,1,100.0,5,2,2,522,Regular Customers
CUST312,117,1,120.0,4,2,3,423,Regular Customers
CUST313,287,1,1500.0,2,2,5,225,At Risk
CUST314,269,1,120.0,2,2,3,223,At Risk
CUST315,215,1,60.0,3,2,2,322,Regular Customers
CUST316,255,1,50.0,2,2,1,221,At Risk
CUST317,337,1,90.0,1,2,2,122,At Risk
CUST318,70,1,25.0,5,2,1,521,Regular Customers
CUST319,89,1,500.0,4,2,4,424,Regular Customers
CUST320,335,1,1200.0,1,2,5,125,At Risk
CUST321,206,1,50.0,3,2,1,321,Regular Customers
CUST322,337,1,500.0,1,2,4,124,At Risk
CUST323,341,1,900.0,1,2,4,124,At Risk
CUST324,67,1,150.0,5,2,3,523,Regular Customers
CUST325,122,1,50.0,4,2,1,421,Regular Customers
CUST326,109,1,75.0,4,2,2,422,Regular Customers
CUST327,95,1,150.0,4,2,3,423,Regular Customers
CUST328,286,1,100.0,2,2,2,222,At Risk
CUST329,337,1,100.0,1,2,2,122,At Risk
CUST330,106,1,200.0,4,2,3,423,Regular Customers
CUST331,325,1,90.0,1,2,2,122,At Risk
CUST332,271,1,1200.0,2,2,5,225,At Risk
CUST333,331,1,1200.0,1,2,5,125,At Risk
CUST334,62,1,900.0,5,2,4,524,Regular Customers
CUST335,332,1,120.0,1,2,3,123,At Risk
CUST336,21,1,150.0,5,2,3,523,Regular Customers
CUST337,246,1,500.0,2,2,4,224,At Risk
CUST338,160,1,100.0,3,2,2,322,Regular Customers
CUST339,305,1,50.0,1,2,1,121,At Risk
CUST340,75,1,1200.0,4,2,5,425,Regular Customers
CUST341,240,1,200.0,2,2,3,223,At Risk
CUST342,70,1,2000.0,5,2,5,525,Regular Customers
CUST343,62,1,50.0,5,2,1,521,Regular Customers
CUST344,346,1,30.0,1,2,1,121,At Risk
CUST345,49,1,30.0,5,2,1,521,Regular Customers
CUST346,325,1,1000.0,1,2,4,124,At Risk
CUST347,152,1,25.0,3,2,1,321,Regular Customers
CUST348,30,1,600.0,5,2,4,524,Regular Customers
CUST349,68,1,50.0,5,2,1,521,Regular Customers
CUST350,77,1,75.0,4,2,2,422,Regular Customers
CUST351,99,1,90.0,4,2,2,422,Regular Customers
CUST352,205,1,1000.0,3,2,4,324,Regular Customers
CUST353,233,1,500.0,2,2,4,224,At Risk
CUST354,262,1,200.0,2,2,3,223,At Risk
CUST355,24,1,500.0,5,2,4,524,Regular Customers
CUST356,206,1,1500.0,3,2,5,325,Regular Customers
CUST357,244,1,75.0,2,2,2,222,At Risk
CUST358,231,1,300.0,2,2,4,224,At Risk
CUST359,164,1,50.0,3,2,1,321,Regular Customers
CUST360,299,1,100.0,1,2,2,122,At Risk
CUST361,23,1,1200.0,5,2,5,525,Regular Customers
CUST362,36,1,25.0,5,2,1,521,Regular Customers
CUST363,213,1,25.0,3,2,1,321,Regular Customers
CUST364,132,1,500.0,4,2,4,424,Regular Customers
CUST365,205,1,300.0,3,2,4,324,Regular Customers
CUST366,329,1,100.0,1,2,2,122,At Risk
CUST367,362,1,50.0,1,2,1,121,At Risk
CUST368,132,1,1200.0,4,2,5,425,Regular Customers
CUST369,48,1,1500.0,5,2,5,525,Regular Customers
CUST370,78,1,60.0,4,2,2,422,Regular Customers
CUST371,315,1,25.0,1,2,1,121,At Risk
CUST372,329,1,1500.0,1,2,5,125,At Risk
CUST373,91,1,600.0,4,2,4,424,Regular Customers
CUST374,257,1,75.0,2,2,2,222,At Risk
CUST375,107,1,50.0,4,2,1,421,Regular Customers
CUST376,231,1,30.0,2,2,1,221,At Risk
CUST377,299,1,200.0,1,2,3,123,At Risk
CUST378,188,1,300.0,3,2,4,324,Regular Customers
CUST379,331,1,25.0,1,2,1,121,At Risk
CUST380,241,1,600.0,2,2,4,224,At Risk
CUST381,177,1,100.0,3,2,2,322,Regular Customers
CUST382,221,1,1000.0,3,2,4,324,Regular Customers
CUST383,286,1,90.0,2,2,2,222,At Risk
CUST384,142,1,500.0,4,2,4,424,Regular Customers
CUST385,88,1,1500.0,4,2,5,425,Regular Customers
CUST386,6,1,600.0,5,2,4,524,Regular Customers
CUST387,212,1,30.0,3,2,1,321,Regular Customers
CUST388,53,1,25.0,5,2,1,521,Regular Customers
CUST389,32,1,50.0,5,2,1,521,Regular Customers
CUST390,96,1,100.0,4,2,2,422,Regular Customers
CUST391,362,1,50.0,1,2,1,121,At Risk
CUST392,25,1,600.0,5,2,4,524,Regular Customers
CUST393,83,1,1000.0,4,2,4,424,Regular Customers
CUST394,213,1,500.0,3,2,4,324,Regular Customers
CUST395,27,1,1000.0,5,2,4,524,Regular Customers
CUST396,313,1,30.0,1,2,1,121,At Risk
CUST397,298,1,25.0,1,2,1,121,At Risk
CUST398,231,1,600.0,2,2,4,224,At Risk
CUST399,307,1,60.0,1,2,2,122,At Risk
CUST400,312,1,200.0,1,3,3,133,At Risk
CUST401,83,1,300.0,4,3,4,434,Regular Customers
CUST402,287,1,600.0,2,3,4,234,At Risk
CUST403,227,1,600.0,2,3,4,234,At Risk
CUST404,222,1,1000.0,3,3,4,334,Regular Customers
CUST405,57,1,1200.0,5,3,5,535,Regular Customers
CUST406,259,1,100.0,2,3,2,232,At Risk
CUST407,191,1,900.0,3,3,4,334,Regular Customers
CUST408,262,1,500.0,2,3,4,234,At Risk
CUST409,15,1,900.0,5,3,4,534,Regular Customers
CUST410,42,1,100.0,5,3,2,532,Regular Customers
CUST411,231,1,200.0,2,3,3,233,At Risk
CUST412,108,1,2000.0,4,3,5,435,Regular Customers
CUST413,116,1,75.0,4,3,2,432,Regular Customers
CUST414,238,1,100.0,2,3,2,232,At Risk
CUST415,340,1,60.0,1,3,2,132,At Risk
CUST416,319,1,2000.0,1,3,5,135,At Risk
CUST417,42,1,900.0,5,3,4,534,Regular Customers
CUST418,150,1,1000.0,3,3,4,334,Regular Customers
CUST419,225,1,90.0,2,3,2,232,At Risk
CUST420,344,1,2000.0,1,3,5,135,At Risk
CUST421,365,1,1500.0,1,3,5,135,At Risk
CUST422,196,1,90.0,3,3,2,332,Regular Customers
CUST423,300,1,25.0,1,3,1,131,At Risk
CUST424,40,1,1200.0,5,3,5,535,Regular Customers
CUST425,232,1,120.0,2,3,3,233,At Risk
CUST426,284,1,150.0,2,3,3,233,At Risk
CUST427,140,1,25.0,4,3,1,431,Regular Customers
CUST428,84,1,200.0,4,3,3,433,Regular Customers
CUST429,5,1,50.0,5,3,1,531,Regular Customers
CUST430,148,1,900.0,3,3,4,334,Regular Customers
CUST431,79,1,1200.0,4,3,5,435,Regular Customers
CUST432,362,1,1000.0,1,3,4,134,At Risk
CUST433,309,1,200.0,1,3,3,133,At Risk
CUST434,328,1,50.0,1,3,1,131,At Risk
CUST435,13,1,900.0,5,3,4,534,Regular Customers
CUST436,290,1,120.0,1,3,3,133,At Risk
CUST437,87,1,1200.0,4,3,5,435,Regular Customers
CUST438,348,1,30.0,1,3,1,131,At Risk
CUST439,177,1,75.0,3,3,2,332,Regular Customers
CUST440,68,1,600.0,5,3,4,534,Regular Customers
CUST441,84,1,1200.0,4,3,5,435,Regular Customers
CUST442,291,1,100.0,1,3,2,132,At Risk
CUST443,146,1,600.0,4,3,4,434,Regular Customers
CUST444,301,1,90.0,1,3,2,132,At Risk
CUST445,345,1,300.0,1,3,4,134,At Risk
CUST446,209,1,50.0,3,3,1,331,Regular Customers
CUST447,180,1,2000.0,3,3,5,335,Regular Customers
CUST448,346,1,60.0,1,3,2,132,At Risk
CUST449,183,1,200.0,3,3,3,333,Regular Customers
CUST450,259,1,50.0,2,3,1,231,At Risk
CUST451,17,1,30.0,5,3,1,531,Regular Customers
CUST452,239,1,1500.0,2,3,5,235,At Risk
CUST453,25,1,1000.0,5,3,4,534,Regular Customers
CUST454,314,1,25.0,1,3,1,131,At Risk
CUST455,185,1,100.0,3,3,2,332,Regular Customers
CUST456,80,1,60.0,4,3,2,432,Regular Customers
CUST457,158,1,900.0,3,3,4,334,Regular Customers
CUST458,49,1,100.0,5,3,2,532,Regular Customers
CUST459,287,1,1200.0,2,3,5,235,At Risk
CUST460,245,1,50.0,2,3,1,231,At Risk
CUST461,283,1,1000.0,2,3,4,234,At Risk
CUST462,276,1,1200.0,2,3,5,235,At Risk
CUST463,155,1,1500.0,3,3,5,335,Regular Customers
CUST464,354,1,600.0,1,3,4,134,At Risk
CUST465,275,1,150.0,2,3,3,233,At Risk
CUST466,196,1,100.0,3,3,2,332,Regular Customers
CUST467,156,1,150.0,3,3,3,333,Regular Customers
CUST468,24,1,25.0,5,3,1,531,Regular Customers
CUST469,239,1,75.0,2,3,2,232,At Risk
CUST470,230,1,1000.0,2,3,4,234,At Risk
CUST471,285,1,150.0,2,3,3,233,At Risk
CUST472,7,1,900.0,5,3,4,534,Regular Customers
CUST473,311,1,50.0,1,3,1,131,At Risk
CUST474,171,1,1500.0,3,3,5,335,Regular Customers
CUST475,347,1,75.0,1,3,2,132,At Risk
CUST476,126,1,2000.0,4,3,5,435,Regular Customers
CUST477,253,1,120.0,2,3,3,233,At Risk
CUST478,264,1,60.0,2,3,2,232,At Risk
CUST479,131,1,1200.0,4,3,5,435,Regular Customers
CUST480,187,1,2000.0,3,3,5,335,Regular Customers
CUST481,210,1,1200.0,3,3,5,335,Regular Customers
CUST482,250,1,1200.0,2,3,5,235,At Risk
CUST483,252,1,30.0,2,3,1,231,At Risk
CUST484,354,1,1200.0,1,3,5,135,At Risk
CUST485,29,1,30.0,5,3,1,531,Regular Customers
CUST486,268,1,25.0,2,3,1,231,At Risk
CUST487,162,1,2000.0,3,3,5,335,Regular Customers
CUST488,198,1,900.0,3,3,4,334,Regular Customers
CUST489,224,1,30.0,3,3,1,331,Regular Customers
CUST490,331,1,150.0,1,3,3,133,At Risk
CUST491,224,1,900.0,3,3,4,334,Regular Customers
CUST492,187,1,100.0,3,3,2,332,Regular Customers
CUST493,38,1,50.0,5,3,1,531,Regular Customers
CUST494,106,1,200.0,4,3,3,433,Regular Customers
CUST495,162,1,60.0,3,3,2,332,Regular Customers
CUST496,19,1,600.0,5,3,4,534,Regular Customers
CUST497,92,1,120.0,4,3,3,433,Regular Customers
CUST498,197,1,100.0,3,3,2,332,Regular Customers
CUST499,352,1,60.0,1,3,2,132,At Risk
CUST500,307,1,100.0,1,3,2,132,At Risk
CUST501,233,1,60.0,2,3,2,232,At Risk
CUST502,275,1,150.0,2,3,3,233,At Risk
CUST503,69,1,2000.0,5,3,5,535,Regular Customers
CUST504,231,1,150.0,2,3,3,233,At Risk
CUST505,347,1,50.0,1,3,1,131,At Risk
CUST506,311,1,1500.0,1,3,5,135,At Risk
CUST507,61,1,1500.0,5,3,5,535,Regular Customers
